PMID,FACTOR,RISK,TEXT
35763062,Biology ( blood platelet level_white blood cell level_triglycerides_fibrinogen),No,"lowering platelet count threshold to 10,000/µl for peripherally inserted central catheter placement safely conserves blood products. despite the low risk of peripherally inserted central catheter (picc) insertion-related bleeding, the practice of administering prophylactic platelets varies greatly. we assessed the impact of lowering prophylactic platelet administration threshold on blood product utilization patterns and bleeding events. the 50 k group received more platelets before picc insertion (0.870 ± 0.885 and 0.143 ± 0.430 pools of platelets-per-person, p < 0.001). lowering the minimum platelet threshold from 50,000/µl to 10,000/µl resulted in less prophylactic platelet and total blood product administration with no appreciable difference in picc insertion-related bleeding.. ."
27818170,ICU,No,"methods: we implemented a prospective study between jan 1, 2013, and sept 12, 2015, in patients (age ≥18 years) admitted to a general medicine ward or intensive care unit who received a picc for any reason during clinical care in 47 hospitals in michigan, usa, with a maximum follow-up of 70 days.. ."
27818170,Biology ( blood platelet level_white blood cell level_triglycerides_fibrinogen),No,". association between delivery methods for red blood cell transfusion and the risk of venous thromboembolism: a longitudinal study. we assessed whether red blood cell transfusion through peripherally inserted central catheters (piccs) affects the risk of venous thromboembolism compared with transfusion through non-picc devices. for every red blood cell unit transfused through a picc, there was a significantly increased risk of venous thromboembolism (adjusted hr 1·24, 95% ci 1·01-1·52; p=0·037). interpretation: red blood cell delivery through a multi-lumen picc is associated with a greater risk of thrombosis than transfusion through a peripheral intravenous catheter.."
30673943,Chemotherapy,Yes,"patients treated with picc removal alone were more likely to have hematologic malignancy, receive chemotherapy, develop thrombocytopenia, and have brachial vein thrombosis.. ."
30673943,Cancer,No,". patients treated with picc removal alone were more likely to have hematologic malignancy, receive chemotherapy, develop thrombocytopenia, and have brachial vein thrombosis.."
36853924,Cancer,No,this study demonstrated the effectiveness of picc and that patients with haematological cancer are more prone to multiple picc passages and more mechanical complications and infections.. .
36853924,PICC infection,No,this study demonstrated the effectiveness of picc and that patients with haematological cancer are more prone to multiple picc passages and more mechanical complications and infections..
33860712,Age,No,. the incidences of picc-uevt were 4.5% for d-dimer above the age-adjusted threshold and 1.5% for below the threshold (p = 0.001)..
33860712,PICC indwelling time,No,"validation of michigan risk score and d-dimer to predict peripherally inserted central catheter-related thrombosis: a study of 206,132 catheter days.. ."
26117624,PICC insertion procedure,Yes,. the same vein entry site was used for placement of the ivcf followed by picc insertion..
25997503,Total parenteral nutrition,Yes,"univariate and multivariate analysis demonstrated a history of transplant, and the indication of total parenteral nutrition was associated with thrombosis (p<0.001).."
32709498,ICU,No,"objective: to compare central line associated bloodstream infection (clabsi) and catheter-related thrombosis rates in intensive care unit (icu) and onco-hematologic patients with picc lines and cvcs.. . objective: to compare central line associated bloodstream infection (clabsi) and catheter-related thrombosis rates in intensive care unit (icu) and onco-hematologic patients with picc lines and cvcs. picc lines were associated with a significantly higher rate of thrombosis in icu [or (95%ci): 2.58(1.80,3.70); p(z)<0.00001] and onco-hematologic [or (95%ci): 2.91(2.11,4.02); p(z)<0.00001] patients. clabsi rates with picc lines were not significantly different in icu patients [or (95%ci): 1.65(0.91,2.99); p(z)= 0.1], but significantly lower clabsi rates were observed in onco-hematologic patients [or (95%ci): 0.38(0.16,0.91); p(z)=0.03].."
32709498,PICC infection,No,objective: to compare central line associated bloodstream infection (clabsi) and catheter-related thrombosis rates in intensive care unit (icu) and onco-hematologic patients with picc lines and cvcs..
34459038,PICC infection,No,"the insertion-site blood oozing and central line-associated bloodstream infection rates were 36.5% (19/52) and 26.9% (14/52), respectively, indicating the feasibility of these piccs for various applications in allo-hsct.."
34343193,PICC insertion procedure,No,". the pooled data showed that compared with picc, tivap was associated with a higher first-puncture success rate (or:2.028, 95%ci:1.25-3.289, p<0.05), a lower accidental removal rate (or:0.447, 95%ci:0.225-0.889, p<0.05) and lower complication rates, including infection (or:0.570, 95%ci: 0.383-0.850, p<0.05), occlusion (or:0.172, 95%ci:0.092-0.324, p<0.05), malposition (or:0.279, 95%ci:0.128-0.608, p<0.05), thrombosis (or:0.191, 95%ci, 0.111-0.329, p<0.05), phlebitis (or:0.102, 95%ci, 0.038-0.273, p<0.05), allergy (or:0.155, 95%ci:0.035-0.696, p<0.05).."
34343193,PICC infection,No,"the pooled data showed that compared with picc, tivap was associated with a higher first-puncture success rate (or:2.028, 95%ci:1.25-3.289, p<0.05), a lower accidental removal rate (or:0.447, 95%ci:0.225-0.889, p<0.05) and lower complication rates, including infection (or:0.570, 95%ci: 0.383-0.850, p<0.05), occlusion (or:0.172, 95%ci:0.092-0.324, p<0.05), malposition (or:0.279, 95%ci:0.128-0.608, p<0.05), thrombosis (or:0.191, 95%ci, 0.111-0.329, p<0.05), phlebitis (or:0.102, 95%ci, 0.038-0.273, p<0.05), allergy (or:0.155, 95%ci:0.035-0.696, p<0.05).."
34226216,Cancer,No,"this pattern continued when only those with malignancy were included in the analysis, those with cancer had twice the risk of thrombosis with a cvr greater than 45%. these results suggest that in individuals with cancer, the use of a cvr ≤45% should be considered to minimise risk of thrombosis.. ."
34226216,PICC insertion procedure,No,. conclusions: adherence to cvr cut-offs are an important component of picc insertion clinical decision making to reduce the risk of thrombosis..
31556001,PICC infection,No,"the primary outcome was all complications as well as combined numbers of large vein thrombosis, central-line-associated blood stream infections, and insertional trauma. the combined number of large vein thrombosis, central-line-associated blood stream infection, and insertional trauma was 4/72 in the picc arm and 1/80 in the cvc group (or 4.6 (95% ci 0.5-42.6) p = 0.14).."
34729630,Cancer,No,"purpose: although a central venous catheter (cvc) is often needed perioperatively for intraoperative and nutritional management of esophageal cancer (ec), the catheter placement impacts the risk of venous thrombosis.. ."
33244268,Cancer,No,this study aimed to identify effects of venous characteristics on symptomatic picc-related venous thrombosis in cancer patients and explore the relationship between venous characteristics and blood flow velocity.. .
33244268,BMI,Yes,". in the bivariate analysis, body mass index (bmi), history of venous thrombosis, triglycerides, tumor category, vessel diameter, vessel depth and arm circumference were associated with thrombosis.."
33244268,PICC insertion procedure,No,". a vein depth of greater than 1.07cm or less than 0.57cm was associated with a higher incidence of picc-related venous thrombosis, and the greater the arm circumference and vessel diameter, the greater the risk of venous thrombosis.."
33244268,Biology ( blood platelet level_white blood cell level_triglycerides_fibrinogen),No,". in the bivariate analysis, body mass index (bmi), history of venous thrombosis, triglycerides, tumor category, vessel diameter, vessel depth and arm circumference were associated with thrombosis.."
33244268,Slower blood flow velocity,No,"this study aimed to identify effects of venous characteristics on symptomatic picc-related venous thrombosis in cancer patients and explore the relationship between venous characteristics and blood flow velocity. in october 2017, 169 patients with piccs were enrolled prospectively, and the relationships between blood flow velocity and venous characteristics were recorded and analyzed. blood flow velocity was positively correlated with vessel depth and arm circumference but not with vessel diameter.."
33157980,Cancer,No,"relationship between abo blood group and risk of venous thrombosis in cancer patients with peripherally inserted central catheters: a protocol for systematic review and meta-analysis. in order to provide basis for individual prevention and accurate treatment of vte, the purpose of this study was to explore the relationship between abo blood group and the risk of vte in cancer patients associated with picc through meta-analysis. methods: electronic databases, including embase, cochrane library, pubmed, chinese databases sinomed, chinese national knowledge infrastructure (cnki), chinese scientific journals database (vip), and wanfang data, were searched for case-control studies of abo blood group and picc-related vte in cancer patients. conclusion: this study provided evidence to support the relationship between abo blood group and the risk of picc-related vte in cancer patients.. ."
32880203,Cancer,No,association between abo blood group and venous thrombosis related to the peripherally inserted central catheters in cancer patients. objective: to evaluate the potential relation between the abo blood group and the risk of venous thrombosis in cancer patients with peripherally inserted central catheters (piccs).. .
32880203,Non-O blood type_ group B,Yes,"the incidence of symptomatic thrombosis was lower in patients with blood type o when compared with that in patients with blood types other than o. after multivariable adjustment, insertion attempts and the non-o blood type were observed to remain associated with thrombosis. conclusion: the risk of picc-related thrombosis in patients with non-o blood type is significantly higher than that in patients with blood type o.."
30560363,ICU,No,"other risk factors (i.e., age, gender, comorbidity, picc duration, veins, hospital stay, and intensive care unit stay) showed no significant correlations with clabsi.. ."
30560363,Gender,No,". other risk factors (i.e., age, gender, comorbidity, picc duration, veins, hospital stay, and intensive care unit stay) showed no significant correlations with clabsi.."
30560363,PICC infection,No,"objective: to evaluate the impact of subcutaneous tunneling on peripherally inserted central catheter (picc) placement in terms of central line-associated bloodstream infections (clabsis). in each group, procedure times and rates of complications, including clabsi, entry-site infection, dislocation, thrombophlebitis, and occlusion, were examined. key points: • subcutaneous tunnels created to place peripherally inserted central catheters significantly reduced catheter-associated bloodstream infections.."
24137199,Cancer,No,"in this study, cancer patients with venous thrombosis associated with the use of peripherally inserted central catheters (piccs) underwent complete recanalization by the administration of panax notoginseng saponins (pns), which vary from heparin or urokinase in that they do not have the same risks associated with thrombolysis, including bleeding. the results suggest that pns are a feasible and effective treatment option for many types of cancer, but have a broader clinical impact on cancer patients with picc-related venous thrombosis.. ."
34096375,PICC insertion procedure,No,". the overall death rate for the year post picc insertion was 38.7% (1094/2825), which was significantly higher in low egfr patients (413/724, 57%) compared to patients with egfr>45 ml/min/1.73 m(2) (632/1985, 31.8%) (p-value < 0.0001, odds ratio 2.84 (95% confidence interval 2.38-3.38)).."
31764785,Chemotherapy,No,"peripherally inserted central catheter (picc) is often applied in chemotherapy patients and commonly causes upper extremity venous thrombosis (uevt), which should be prevented.to assess the preventive effects of the anticoagulants rivaroxaban and low molecular weight heparin (lmwh) on uevt in patients receiving chemotherapy through piccs.a total of 423 chemotherapy patients with continuous picc use between january 2014 and june 2015 at the oncology department of dongying people's hospital were divided into 3 groups: rivaroxaban (10 mg/day, orally), lmwh (enoxaparine, 4000 anti-xa iu/day, subcutaneous injection), and control (no anticoagulant). there were significant differences in the rivaroxaban group and the lmwh group compared to the control group (p = .010 and p = .009, respectively), but no significant difference was observed between the rivaroxaban group and the lmwh group (p = .743).anticoagulants such as rivaroxaban and lmwh may reduce the incidence of picc-related uevt in patients receiving chemotherapy.. ."
31764785,Cancer,No,"the anticoagulants rivaroxaban and low molecular weight heparin prevent picc-related upper extremity venous thrombosis in cancer patients. there were no differences in cancer location (p = .628), picc implantation site (p > .05), body mass index (bmi) (p = .434), blood pressure (all p > .05), blood lipids (5 laboratory parameters included, all p > .5), smoking (p = .138), history of lower limb venous thrombosis (p = .082), and 10 other associated comorbidities (all p > .5).. ."
31764785,Gender,No,"uevt incidence and other complications during picc use were observed and recorded.the rivaroxaban, lmwh, and control groups included 138 (79 males; 54.9 ± 11.0 years), 144 (76 males; 56.0 ± 10.9 years), and 141 (71 males; 53.3 ± 10.9 years) patients, (p = .402 and p = .623 for age and sex respectively).. ."
31764785,BMI,No,". there were no differences in cancer location (p = .628), picc implantation site (p > .05), body mass index (bmi) (p = .434), blood pressure (all p > .05), blood lipids (5 laboratory parameters included, all p > .5), smoking (p = .138), history of lower limb venous thrombosis (p = .082), and 10 other associated comorbidities (all p > .5).."
31764785,Smoking,No,"there were no differences in cancer location (p = .628), picc implantation site (p > .05), body mass index (bmi) (p = .434), blood pressure (all p > .05), blood lipids (5 laboratory parameters included, all p > .5), smoking (p = .138), history of lower limb venous thrombosis (p = .082), and 10 other associated comorbidities (all p > .5).. ."
31764785,Age,No,"uevt incidence and other complications during picc use were observed and recorded.the rivaroxaban, lmwh, and control groups included 138 (79 males; 54.9 ± 11.0 years), 144 (76 males; 56.0 ± 10.9 years), and 141 (71 males; 53.3 ± 10.9 years) patients, (p = .402 and p = .623 for age and sex respectively).. ."
31764785,Number of comorbidities/HTA/Hyperglycemia,No,". there were no differences in cancer location (p = .628), picc implantation site (p > .05), body mass index (bmi) (p = .434), blood pressure (all p > .05), blood lipids (5 laboratory parameters included, all p > .5), smoking (p = .138), history of lower limb venous thrombosis (p = .082), and 10 other associated comorbidities (all p > .5).."
31764785,Anticoagulants therapy,No,"the anticoagulants rivaroxaban and low molecular weight heparin prevent picc-related upper extremity venous thrombosis in cancer patients. peripherally inserted central catheter (picc) is often applied in chemotherapy patients and commonly causes upper extremity venous thrombosis (uevt), which should be prevented.to assess the preventive effects of the anticoagulants rivaroxaban and low molecular weight heparin (lmwh) on uevt in patients receiving chemotherapy through piccs.a total of 423 chemotherapy patients with continuous picc use between january 2014 and june 2015 at the oncology department of dongying people's hospital were divided into 3 groups: rivaroxaban (10 mg/day, orally), lmwh (enoxaparine, 4000 anti-xa iu/day, subcutaneous injection), and control (no anticoagulant). there were significant differences in the rivaroxaban group and the lmwh group compared to the control group (p = .010 and p = .009, respectively), but no significant difference was observed between the rivaroxaban group and the lmwh group (p = .743).anticoagulants such as rivaroxaban and lmwh may reduce the incidence of picc-related uevt in patients receiving chemotherapy.. ."
35287828,Cancer,No,"the aim of this systematic review is to analyze the available scientific literature in order to determine whether bmi could represent a risk factor in the development of thromboembolic event among cancer patients with piccs. the primary endpoint was the relative risk (rr) of picc-related thrombosis of overweight/obese vs normal weight/underweight (i.e., bmi ≥25 vs <25 kg/m(2)) in cancer patients.. ."
35287828,BMI,No,". among the identification of independent risk factors, the role of body mass index (bmi) ≥25 kg/m(2) is now emerging in literature with conflicting results.. among the identification of independent risk factors, the role of body mass index (bmi) ≥25 kg/m(2) is now emerging in literature with conflicting results. the aim of this systematic review is to analyze the available scientific literature in order to determine whether bmi could represent a risk factor in the development of thromboembolic event among cancer patients with piccs. the primary endpoint was the relative risk (rr) of picc-related thrombosis of overweight/obese vs normal weight/underweight (i.e., bmi ≥25 vs <25 kg/m(2)) in cancer patients.."
35287828,Age,No,. conclusion: this review showed a two-fold risk of thrombosis in overweight/obese compared to normal weight/underweight oncological patients with piccs..
28218366,Cancer,No,purpose: to evaluate incidence and risk factors of peripherally inserted central catheter (picc)-related complications in cancer patients. conclusions: cancer patients with bmi greater than 25 were more likely to have picc complications.. .
28218366,BMI,Yes,". in multivariable analysis, body mass index (bmi) >25 (odds ratio, 2.09; 95% confidence interval, 1.26-3.47, p = 0.004) was shown to be a significant risk factor for picc complications.. in multivariable analysis, body mass index (bmi) >25 (odds ratio, 2.09; 95% confidence interval, 1.26-3.47, p = 0.004) was shown to be a significant risk factor for picc complications. conclusions: cancer patients with bmi greater than 25 were more likely to have picc complications.."
28218366,PICC indwelling time,No,nine (1.9%) patients developed symptomatic upper extremity deep venous thrombosis (uedvt) and central line associated bloodstream infection (clabsi) was shown in six (1.3%) piccs with an infection rate 0.12 per 1000 catheter days.. .
28218366,PICC infection,No,nine (1.9%) patients developed symptomatic upper extremity deep venous thrombosis (uedvt) and central line associated bloodstream infection (clabsi) was shown in six (1.3%) piccs with an infection rate 0.12 per 1000 catheter days..
35645580,Diabete,No,"in univariate and multivariate analyses, diabetes mellitus was associated with catheter-related infection. in univariate and multivariate analyses, diabetes mellitus and fluoroscopy-guided insertion were associated with favorable catheter survival.. ."
35645580,PICC insertion procedure,No,. conclusion: the results of our study showed high success and low complication rates for picc insertion by nephrologists..
35645580,PICC infection,No,"in univariate and multivariate analyses, diabetes mellitus was associated with catheter-related infection.."
28978332,PICC infection,Yes,"the primary outcome was picc failure, a composite of picc removal for local infection, catheter-associated bloodstream infection, dislodgement, occlusion, and/or catheter fracture.."
26312402,PICC infection,No,"major (central line-associated bloodstream infection, venous thromboembolism, catheter dislodgement) and minor (migration, dressing disruption, lumen occlusion, exit site infection) complications and process measures (flushing of picc, assessment of necessity) were recorded.."
28936124,Chemotherapy,Yes,"statistically significant risk factors for developing prdvt in multivariate analysis included more than one attempt for insertion (or 2.61, 95%ci: 1.12-6.05) and the use of fluoropyrimidine containing chemotherapy (or 4.27, 95%ci 1.3-14.07). when all-type vte were considered together fluoropyrimidine containing chemotherapy (or 4.54, 95% ci 1.63-12.61), male gender (or 2.03, 95% ci 1.04-3.93) and white cell count (or 1.12, 95% ci 1.00-1.26) were statistically significant as risk factors in this analysis. fluoropyrimidine containing chemotherapy and more than one attempt for picc insertion were independent predictors of picc-associated vte whilst the former remained an independent predictor of all-type vte.. ."
28936124,Cancer,No,"the risk of venous thromboembolism associated with peripherally inserted central catheters in ambulant cancer patients. piccs are increasingly utilised in the management of cancer patients, a group which carries both additional risks for vascular thromboembolism as well as for complex morbidity. we analysed a cohort of cancer patients subjected to picc insertion in a single cancer centre for the incidence of all-type vascular thromboembolism (vte) and investigated relative risk factors. conclusions: this is a large study of vte following picc insertion in cancer patients which also looks at the rate of distant vte.. ."
28936124,Gender,Yes,". male gender was the only significant risk factor for distant vte. when all-type vte were considered together fluoropyrimidine containing chemotherapy (or 4.54, 95% ci 1.63-12.61), male gender (or 2.03, 95% ci 1.04-3.93) and white cell count (or 1.12, 95% ci 1.00-1.26) were statistically significant as risk factors in this analysis.."
28936124,PICC insertion procedure,No,. we analysed a cohort of cancer patients subjected to picc insertion in a single cancer centre for the incidence of all-type vascular thromboembolism (vte) and investigated relative risk factors. conclusions: this is a large study of vte following picc insertion in cancer patients which also looks at the rate of distant vte. fluoropyrimidine containing chemotherapy and more than one attempt for picc insertion were independent predictors of picc-associated vte whilst the former remained an independent predictor of all-type vte..
30594171,Cancer,No,". symptomatic venous thromboembolism associated with peripherally inserted central catheters predicts a worse survival in nasopharyngeal carcinoma: results of a large cohort, propensity score-matched analysis. background: despite increasing use, symptomatic venous thromboembolism (vte) associated with peripherally inserted central catheter (picc) is a common complication in nonmetastatic nasopharyngeal carcinoma (npc) patients.."
30594171,Anticoagulants therapy,No,"subgroup analyses indicated that no significant survival difference was found between picc-related superficial venous thrombosis and deep vein thrombosis, nor did different anticoagulant treatment methods.. ."
31721153,Cancer,No,conclusion: we have demonstrated that the cost from a healthcare perspective is higher in cancer patients receiving a picc than to those with a port.. .
37046808,Chemotherapy,No,intravascular complications of central venous catheterization by insertion site in acute leukemia during remission induction chemotherapy phase: lower risk with peripherally inserted catheters in a single-center retrospective study. picc was a valid cvc for the induction chemotherapy of acute leukemia for the lowest risk of sdvt and bsi.. .
37046808,Cancer,No,. intravascular complications of central venous catheterization by insertion site in acute leukemia during remission induction chemotherapy phase: lower risk with peripherally inserted catheters in a single-center retrospective study. picc was a valid cvc for the induction chemotherapy of acute leukemia for the lowest risk of sdvt and bsi..
31445252,Cancer,No,"machine learning approaches for risk assessment of peripherally inserted central catheter-related vein thrombosis in hospitalized patients with cancer. conclusions: our research confirmed that ml approaches are powerful tools to identify cancer patients with a high risk of picc-related thrombosis, which outperform the currently used criteria (seeley). from our research, more-precise assessments can be performed in cancer patients with piccs to help decide the prophylaxis and effectively lower the incidence of picc-related thrombosis.. ."
24781722,Chemotherapy,No,"thrombotic risk factors in patients undergoing chemotherapy via peripherally inserted central catheter. objective: to evaluate risk factors for venous thrombosis in patients undergoing chemotherapy via peripherally inserted central catheter (picc). conclusions: age >60 years, bmi >25 kg/m(2) and wbc >1.4 × 10(9)/l are major risk factors for thrombosis in chinese patients undergoing picc chemotherapy.. ."
24781722,BMI,Yes,". age >60 years, bmi >25 kg/m(2) and wbc >11.4 × 10(9)/l were identified as independent risk factors for thrombosis. conclusions: age >60 years, bmi >25 kg/m(2) and wbc >1.4 × 10(9)/l are major risk factors for thrombosis in chinese patients undergoing picc chemotherapy.."
24781722,Age,Yes,"conclusions: age >60 years, bmi >25 kg/m(2) and wbc >1.4 × 10(9)/l are major risk factors for thrombosis in chinese patients undergoing picc chemotherapy.. ."
30384035,ICU,No,". methods: we conducted a single-center, retrospective cohort study of medical-icu patients between november 2007 and november 2013 grouped by receipt of cvc, picc, both, or neither.."
26113804,PICC infection,No,"post-thrombotic complication rates, particularly infection, were higher in the picc group compared to the ltstc group (p = 0.597).."
28740162,PICC insertion procedure,No,. we retrospectively reviewed a database of 320 consecutive patients who underwent picc insertion between december 2014 and december 2015 at the first affiliated hospital of xi'an jiaotong university to explore the potential associations between risk factors and picc-associated thrombosis..
24911379,BMI,Yes,". in multivariable logistic regression analyses, malnutrition and after-hours placement were significantly associated with increased risk of complications, as was body mass index (bmi) >30 after adjusting for anticoagulation and time of placement.. in multivariable logistic regression analyses, malnutrition and after-hours placement were significantly associated with increased risk of complications, as was body mass index (bmi) >30 after adjusting for anticoagulation and time of placement. conclusions: screening of patients undergoing picc placement with attention to malnutrition, bmi >30, and length of stay may reduce the risk of picc-associated complications.."
24911379,Biology ( blood platelet level_white blood cell level_triglycerides_fibrinogen),No,"in our multivariable logistic regression analyses, use of anticoagulation/antiplatelet agents was associated with decreased risk of all-cause complications, nonmechanical complications, and catheter-associated thrombosis.. ."
24911379,PICC infection,No,"complications included catheter-associated thrombosis (3%), mechanical complications (4%), catheter-associated bloodstream infections (2%), and cellulitis (1%).."
31981040,Biology ( blood platelet level_white blood cell level_triglycerides_fibrinogen),No,uedvt treatment was compared in 3 groups: patients with a platelet count ≥ 50 × 10(9)/l (group1) who underwent a therapeutic dose of low molecular weight heparin (lmwh) or fondaparinux 7.5 mg; patients with a platelet count < 50 × 10(9)/l and ≥ 30 × 10(9)/l (group 2) who were treated with a 50% reduced dose of lmwh or fondaparinux 5 mg; patients with platelets < 30 × 10(9)/l (group 3) were observed and treated with anticoagulants when the count was > 30 × 10(9)//l.. .
31981040,Anticoagulants therapy,No,uedvt treatment was compared in 3 groups: patients with a platelet count ≥ 50 × 10(9)/l (group1) who underwent a therapeutic dose of low molecular weight heparin (lmwh) or fondaparinux 7.5 mg; patients with a platelet count < 50 × 10(9)/l and ≥ 30 × 10(9)/l (group 2) who were treated with a 50% reduced dose of lmwh or fondaparinux 5 mg; patients with platelets < 30 × 10(9)/l (group 3) were observed and treated with anticoagulants when the count was > 30 × 10(9)//l. we observed no hemorrhagic or thrombotic complications related to the anticoagulant therapy; length of treatment was comparable between groups 1 and 2 (51 days group 1 vs 50 days group 2).. .
35279504,Cancer,No,"risk of vte associated with ports and piccs in cancer patients: a systematic review and meta-analysis. our meta-analysis of 22 studies suggested that the risk of port-related vte was lower than that of picc-related vte in cancer patients (or = 0.38, 95% ci: 0.25-0.58). conclusions: ports are associated with a lower risk of vte than piccs in cancer patients. the risk of vte and benefits should be considered when selecting ports or piccs for cancer patients.. ."
34095299,Diabete,No,"age, diabetes, surgery, and picc serve as independent risk factors for gc-associated thrombotic diseases (p < 0.05). the present work demonstrates that gc-associated thrombotic diseases are significantly associated with age, diabetes, surgery, and picc, suggesting a potential target for early detection and preventive strategy for gc patients with thrombophilia.. ."
34095299,Cancer,No,risk factors for gastric cancer-associated thrombotic diseases in a han chinese population. the aim of the present work was to investigate the risk factors for gastric cancer- (gc-) associated thrombotic diseases in a han chinese population.. .
34095299,Surgery_type of surgery,Yes,"age, diabetes, surgery, and picc serve as independent risk factors for gc-associated thrombotic diseases (p < 0.05). the present work demonstrates that gc-associated thrombotic diseases are significantly associated with age, diabetes, surgery, and picc, suggesting a potential target for early detection and preventive strategy for gc patients with thrombophilia.."
34095299,Thrombophilia,No,"the present work demonstrates that gc-associated thrombotic diseases are significantly associated with age, diabetes, surgery, and picc, suggesting a potential target for early detection and preventive strategy for gc patients with thrombophilia.."
25680892,Chemotherapy,Yes,"multiple studies identified age, malignancy, diabetes, obesity, chemotherapy, thrombophilia and a history of thrombosis as significant risk factors for catheter-related thrombosis.. ."
25680892,Diabete,No,"multiple studies identified age, malignancy, diabetes, obesity, chemotherapy, thrombophilia and a history of thrombosis as significant risk factors for catheter-related thrombosis.. ."
25680892,BMI,Yes,"multiple studies identified age, malignancy, diabetes, obesity, chemotherapy, thrombophilia and a history of thrombosis as significant risk factors for catheter-related thrombosis.. ."
25680892,History Of Thrombosis,No,". multiple studies identified age, malignancy, diabetes, obesity, chemotherapy, thrombophilia and a history of thrombosis as significant risk factors for catheter-related thrombosis.."
25680892,Performans score_performance status_karnofsky_ECOG_Less activity_bedridden > 72h,No,". identification of patient-related risk factors could lead to early recognition of upper limb deep vein thrombosis in patients with catheters, thereby preventing complications.."
25680892,Thrombophilia,Yes,"multiple studies identified age, malignancy, diabetes, obesity, chemotherapy, thrombophilia and a history of thrombosis as significant risk factors for catheter-related thrombosis.."
34454607,PICC insertion procedure,No,". the success rate of the first catheterization, the success rate of the catheterization, the timing of the catheterization, the complications and the position of the catheter end were compared between the two groups.."
37736715,Chemotherapy,No,"because more than half of the patients with picc-related complications could be managed with conventional interventions, piccs remain a priority for cancer patients undergoing short-term chemotherapy.. ."
37736715,Cancer,No,"purpose: the incidence of peripherally inserted central catheter (picc)-related complications is higher in cancer patients than in noncancer patients. cancer patients undergoing picc insertion for anticancer treatment were recruited and followed up until the first week after catheter removal. because more than half of the patients with picc-related complications could be managed with conventional interventions, piccs remain a priority for cancer patients undergoing short-term chemotherapy.. ."
37736715,PICC insertion procedure,No,. cancer patients undergoing picc insertion for anticancer treatment were recruited and followed up until the first week after catheter removal..
37736715,PICC infection,No,"catheter fracture and catheter-related bloodstream infection were classified as the ""late onset"" group occurring after the second month post-insertion. marsi, catheter dislodgement, occlusion, and insertion site infection were classified as the ""persistent onset"" group persistently occurring during the whole catheter-dwelling period.."
27240799,PICC infection,Yes,background: central line-associated bloodstream infections (clabsis) are a common life-threatening risk factor associated with central venous catheters (cvcs)..
25616129,PICC infection,No,"during follow up of piccs, catheter infection rate was 0.3/1000 days, vein thrombosis rate 0.4/1000 days, catheter occlusion 0.4/1000 days, and catheter displacement 0.33/1000 days.."
25634150,PICC infection,No,"although both lines saw similar overall rates upon closer observation, the strengths and weaknesses of both lines are shown.polyurethane picc lines were found to provide lower rates of infection, dislodgment, thrombus and rupture complications.mixed results were found with catheter line occlusions, overall averages showing polyurethane lines slightly higher rates than silicone.."
31005243,Chemotherapy,Yes,"this increased risk should be considered when choosing a vascular access device for chemotherapy, especially in patients with solid malignancy.. ."
31005243,Cancer,No,"clinical impact of peripherally inserted central catheters vs implanted port catheters in patients with cancer: an open-label, randomised, two-centre trial. methods: adults with non-haematological cancer (mainly breast and colorectal) from two swedish oncology centres were included and followed for up to 1 yr.. ."
38105233,Chemotherapy,No,"logistic regression analysis showed that age (p = 0.0444), temperature (p = 0.0317), amount of blood loss (p = 0.0067), picc (p < 0.0001), chemotherapy (p = 0.0459), anemia (p = 0.0007), international normalized ratio (p = 0.003) and ca199 (p = 0.0234) were independent risk factors for vte.. ."
38105233,Cancer,No,"risk factors of venous thromboembolism in inpatients with colorectal cancer in china. to explore the risk factors for venous thromboembolism (vte) in inpatients with colorectal cancer. the demographic factors, comorbidities, and hematological indices of patients with colorectal cancer treated in our hospital from 2016 to 2021 were collected and recorded. clinical parameters are associated with vte in inpatients with colorectal cancer, which will help to guide clinicians to take effective measures to improve the patients' prognosis.. ."
38105233,Smoking,Yes,"comparing the clinical data of 293 cases of non-vte group and 235 cases of vte group, we found significant differences in age, smoking, temperature, amount of blood loss, differentiation degree, peripherally inserted central catheter (picc), radiotherapy, anemia, infection, white blood cell count, prothrombin time (pt), pt%, prothrombin ratio, international normalized ratio, thrombin time, ca199 and cea between the two groups (p < 0.05).. ."
38105233,Age,No,"logistic regression analysis showed that age (p = 0.0444), temperature (p = 0.0317), amount of blood loss (p = 0.0067), picc (p < 0.0001), chemotherapy (p = 0.0459), anemia (p = 0.0007), international normalized ratio (p = 0.003) and ca199 (p = 0.0234) were independent risk factors for vte.. ."
38105233,Number of comorbidities/HTA/Hyperglycemia,No,". the demographic factors, comorbidities, and hematological indices of patients with colorectal cancer treated in our hospital from 2016 to 2021 were collected and recorded.."
38105233,Biology ( blood platelet level_white blood cell level_triglycerides_fibrinogen),No,". comparing the clinical data of 293 cases of non-vte group and 235 cases of vte group, we found significant differences in age, smoking, temperature, amount of blood loss, differentiation degree, peripherally inserted central catheter (picc), radiotherapy, anemia, infection, white blood cell count, prothrombin time (pt), pt%, prothrombin ratio, international normalized ratio, thrombin time, ca199 and cea between the two groups (p < 0.05).."
